Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1.0,1.0,8.0,0.0,22.76,0.0,44.67,13.5,0.96,16.43
1.0,2.0,8.0,0.0,22.63,0.0,46.59,7.7,0.36,8.17
1.0,3.0,8.0,0.0,22.49,0.0,48.39,6.8,0.48,7.07
1.0,4.0,8.0,0.0,22.45,0.0,49.86,7.9,0.0,7.41
1.0,5.0,8.0,0.0,22.39,0.0,51.19,7.8,0.12,6.92
1.0,6.0,8.0,0.0,22.39,0.0,51.76,9.3,1.68,7.59
1.0,7.0,8.0,0.0,22.39,0.0,51.98,10.2,2.28,7.85
1.0,8.0,8.0,0.0,22.49,0.0,51.58,12.4,12.84,10.24
1.0,9.0,8.0,0.0,22.65,0.0,50.49,13.6,4.44,15.96
1.0,10.0,8.0,0.0,22.7,0.0,48.96,12.7,7.68,20.08
1.0,11.0,8.0,0.0,22.7,0.0,47.75,8.7,15.12,19.25
1.0,12.0,8.0,0.0,22.71,0.0,46.74,10.5,4.56,24.08
1.0,13.0,8.0,0.0,22.74,0.0,45.54,13.8,9.6,30.56
1.0,14.0,8.0,0.0,22.77,0.0,44.33,15.6,2.52,35.35
1.0,15.0,8.0,0.0,22.77,0.0,43.6,13.0,2.88,34.21
1.0,16.0,8.0,0.0,22.78,0.0,43.27,15.6,3.84,38.33
1.0,17.0,8.0,0.0,22.78,0.0,43.35,12.6,3.0,31.85
1.0,18.0,8.0,0.0,22.77,0.0,43.95,10.1,3.6,24.48
1.0,19.0,8.0,0.0,22.78,0.0,44.66,14.6,3.12,29.63
1.0,20.0,8.0,0.0,22.78,0.0,44.61,21.3,1.44,36.19
1.0,21.0,8.0,0.0,22.78,0.0,44.44,15.0,1.8,26.78
1.0,22.0,8.0,0.0,22.78,0.0,43.84,28.0,1.56,40.96
1.0,23.0,8.0,0.0,22.78,0.0,43.5,15.4,0.48,23.75
1.0,24.0,8.0,0.0,22.77,0.0,43.92,13.6,0.36,20.02
1.0,1.0,2.0,0.0,22.75,0.0,44.9,10.6,0.84,14.74
1.0,2.0,2.0,0.0,22.75,0.0,46.11,14.0,0.36,16.38
1.0,3.0,2.0,0.0,22.52,0.0,48.0,6.4,1.08,6.82
1.0,4.0,2.0,0.0,22.51,0.0,49.4,10.3,1.92,8.45
1.0,5.0,2.0,0.0,22.39,0.0,50.56,9.2,0.0,6.52
1.0,6.0,2.0,0.0,22.37,0.0,50.78,12.0,3.24,7.51
1.0,7.0,2.0,0.0,22.4,0.0,50.15,14.9,7.2,8.49
1.0,8.0,2.0,0.0,22.36,0.0,49.69,14.4,13.68,7.78
