Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,0.0
6.5,0.0
7.5,19.8897
8.5,253.431
9.5,391.36
10.5,516.506
11.5,525.329
12.5,587.309
13.5,614.509
14.5,458.635
15.5,351.1
16.5,151.153
17.5,0.0
18.5,0.0
19.5,0.0
20.5,0.0
21.5,0.0
22.5,0.0
23.5,0.0
24.5,0.0
25.5,0.0
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,8.58858
32.5,137.251
33.5,153.369
34.5,183.96
35.5,397.082
36.5,248.472
37.5,233.457
38.5,233.211
39.5,203.956
40.5,167.73
41.5,0.0
42.5,0.0
43.5,0.0
44.5,0.0
45.5,0.0
46.5,0.0
47.5,0.0
48.5,0.0
49.5,0.0
50.5,0.0
51.5,0.0
52.5,0.0
53.5,0.0
54.5,0.0
55.5,19.5194
56.5,191.798
57.5,360.851
58.5,494.317
59.5,567.174
60.5,592.126
61.5,540.423
62.5,381.893
63.5,335.817
64.5,148.173
65.5,0.0
66.5,0.0
67.5,0.0
68.5,0.0
69.5,0.0
70.5,0.0
71.5,0.0
72.5,0.0
73.5,0.0
74.5,0.0
75.5,0.0
76.5,0.0
77.5,0.0
78.5,0.0
79.5,7.88321
80.5,95.3933
81.5,166.205
82.5,202.98
83.5,322.742
84.5,365.435
85.5,361.916
86.5,426.126
87.5,325.985
88.5,173.094
89.5,0.0
90.5,0.0
91.5,0.0
92.5,0.0
93.5,0.0
94.5,0.0
95.5,0.0
96.5,0.0
97.5,0.0
98.5,0.0
99.5,0.0
100.5,0.0
101.5,0.0
102.5,0.0
103.5,16.4908
104.5,314.353
105.5,525.881
106.5,649.184
107.5,707.335
108.5,696.78
109.5,648.851
110.5,536.887
111.5,365.021
112.5,159.198
113.5,0.0
114.5,0.0
115.5,0.0
116.5,0.0
117.5,0.0
118.5,0.0
119.5,0.0
120.5,0.0
121.5,0.0
122.5,0.0
123.5,0.0
124.5,0.0
125.5,0.0
126.5,0.0
127.5,15.5808
128.5,329.988
129.5,545.579
130.5,671.339
131.5,742.628
132.5,760.764
133.5,710.609
134.5,591.123
135.5,414.851
136.5,193.163
137.5,0.0
138.5,0.0
139.5,0.0
140.5,0.0
141.5,0.0
142.5,0.0
143.5,0.0
144.5,0.0
145.5,0.0
146.5,0.0
147.5,0.0
148.5,0.0
149.5,0.0
150.5,0.0
151.5,0.0
152.5,33.1006
153.5,62.2152
154.5,60.3373
155.5,50.6307
156.5,37.7803
157.5,495.733
158.5,462.906
159.5,323.359
160.5,131.241
161.5,0.0
162.5,0.0
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,0.0
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,1.46183
176.5,34.1552
177.5,62.6652
178.5,34.8546
179.5,69.7161
180.5,58.3562
181.5,654.29
182.5,538.766
183.5,456.949
184.5,225.549
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,41.2624
200.5,47.9522
201.5,147.007
202.5,151.598
203.5,88.5405
204.5,649.76
205.5,376.174
206.5,316.702
207.5,182.201
208.5,143.832
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,12.9083
225.5,30.0455
226.5,48.7528
227.5,58.484
228.5,57.6092
229.5,534.153
230.5,445.277
231.5,301.264
232.5,144.889
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,17.5351
248.5,277.303
249.5,501.505
250.5,529.808
251.5,614.978
252.5,642.298
253.5,439.027
254.5,429.94
255.5,321.96
256.5,132.383
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,18.9983
272.5,306.502
273.5,531.946
274.5,761.102
275.5,771.656
276.5,520.39
277.5,293.144
278.5,132.522
279.5,104.593
280.5,17.3149
281.5,0.0
282.5,0.0
283.5,0.0
284.5,0.0
285.5,0.0
286.5,0.0
287.5,0.0
288.5,0.0
289.5,0.0
290.5,0.0
291.5,0.0
292.5,0.0
293.5,0.0
294.5,0.0
295.5,14.976
296.5,219.814
297.5,303.737
298.5,405.057
299.5,437.168
300.5,484.338
301.5,462.522
302.5,391.831
303.5,224.403
304.5,88.2536
305.5,0.0
306.5,0.0
307.5,0.0
308.5,0.0
309.5,0.0
310.5,0.0
311.5,0.0
312.5,0.0
313.5,0.0
314.5,0.0
315.5,0.0
316.5,0.0
317.5,0.0
318.5,0.0
319.5,3.96633
320.5,67.4132
321.5,116.554
322.5,168.201
323.5,165.681
324.5,135.675
325.5,111.604
326.5,93.1814
327.5,29.1228
328.5,12.9105
329.5,0.0
330.5,0.0
331.5,0.0
332.5,0.0
333.5,0.0
334.5,0.0
335.5,0.0
336.5,0.0
337.5,0.0
338.5,0.0
339.5,0.0
340.5,0.0
341.5,0.0
342.5,0.0
343.5,15.8263
344.5,318.382
345.5,525.751
346.5,649.072
347.5,725.539
348.5,724.144
349.5,684.632
350.5,587.022
351.5,443.389
352.5,223.973
353.5,0.0
354.5,0.0
355.5,0.0
356.5,0.0
357.5,0.0
358.5,0.0
359.5,0.0
360.5,0.0
361.5,0.0
362.5,0.0
363.5,0.0
364.5,0.0
365.5,0.0
366.5,0.0
367.5,16.7888
368.5,342.347
369.5,564.271
370.5,683.311
371.5,749.687
372.5,756.995
373.5,691.932
374.5,594.865
375.5,442.08
376.5,226.331
377.5,0.0
378.5,0.0
379.5,0.0
380.5,0.0
381.5,0.0
382.5,0.0
383.5,0.0
384.5,0.0
385.5,0.0
386.5,0.0
387.5,0.0
388.5,0.0
389.5,0.0
390.5,0.0
391.5,16.518
392.5,327.729
393.5,535.605
394.5,647.337
395.5,726.624
396.5,740.326
397.5,710.505
398.5,613.32
399.5,440.23
400.5,221.387
401.5,0.0
402.5,0.0
403.5,0.0
404.5,0.0
405.5,0.0
406.5,0.0
407.5,0.0
408.5,0.0
409.5,0.0
410.5,0.0
411.5,0.0
412.5,0.0
413.5,0.0
414.5,0.0
415.5,1.34949
416.5,54.786
417.5,105.699
418.5,147.689
419.5,144.776
420.5,123.222
421.5,92.1937
422.5,84.4085
423.5,58.4223
424.5,15.6414
425.5,0.0
426.5,0.0
427.5,0.0
428.5,0.0
429.5,0.0
430.5,0.0
431.5,0.0
432.5,0.0
433.5,0.0
434.5,0.0
435.5,0.0
436.5,0.0
437.5,0.0
438.5,0.0
439.5,0.504694
440.5,40.5238
441.5,102.844
442.5,545.251
443.5,637.434
444.5,118.673
445.5,242.738
446.5,159.238
447.5,18.4622
448.5,5.14249
449.5,0.0
450.5,0.0
451.5,0.0
452.5,0.0
453.5,0.0
454.5,0.0
455.5,0.0
456.5,0.0
457.5,0.0
458.5,0.0
459.5,0.0
460.5,0.0
461.5,0.0
462.5,0.0
463.5,7.76647
464.5,102.328
465.5,173.133
466.5,283.426
467.5,346.667
468.5,328.42
469.5,294.151
470.5,229.115
471.5,145.495
472.5,55.7323
473.5,0.0
474.5,0.0
475.5,0.0
476.5,0.0
477.5,0.0
478.5,0.0
479.5,0.0
480.5,0.0
481.5,0.0
482.5,0.0
483.5,0.0
484.5,0.0
485.5,0.0
486.5,0.0
487.5,10.8224
488.5,86.8677
489.5,154.168
490.5,124.232
491.5,162.397
492.5,154.605
493.5,183.067
494.5,153.437
495.5,44.9541
496.5,19.9953
497.5,0.0
498.5,0.0
499.5,0.0
500.5,0.0
501.5,0.0
502.5,0.0
503.5,0.0
504.5,0.0
505.5,0.0
506.5,0.0
507.5,0.0
508.5,0.0
509.5,0.0
510.5,0.0
511.5,104.072
512.5,293.301
513.5,419.033
514.5,506.406
515.5,573.569
516.5,591.631
517.5,573.777
518.5,467.594
519.5,350.66
520.5,192.539
521.5,0.0
522.5,0.0
523.5,0.0
524.5,0.0
525.5,0.0
526.5,0.0
527.5,0.0
528.5,0.0
529.5,0.0
530.5,0.0
531.5,0.0
532.5,0.0
533.5,0.0
534.5,0.0
535.5,117.637
536.5,326.42
537.5,475.052
538.5,570.935
539.5,641.069
540.5,657.339
541.5,621.817
542.5,531.812
543.5,404.632
544.5,217.146
545.5,0.0
546.5,0.0
547.5,0.0
548.5,0.0
549.5,0.0
550.5,0.0
551.5,0.0
552.5,0.0
553.5,0.0
554.5,0.0
555.5,0.0
556.5,0.0
557.5,0.0
558.5,0.0
559.5,127.143
560.5,349.215
561.5,500.515
562.5,598.702
563.5,651.052
564.5,679.575
565.5,635.932
566.5,542.546
567.5,412.231
568.5,224.182
569.5,0.0
570.5,0.0
571.5,0.0
572.5,0.0
573.5,0.0
574.5,0.0
575.5,0.0
576.5,0.0
577.5,0.0
578.5,0.0
579.5,0.0
580.5,0.0
581.5,0.0
582.5,0.0
583.5,134.519
584.5,365.324
585.5,550.088
586.5,665.318
587.5,730.321
588.5,735.71
589.5,690.364
590.5,591.459
591.5,440.418
592.5,239.537
593.5,0.0
594.5,0.0
595.5,0.0
596.5,0.0
597.5,0.0
598.5,0.0
599.5,0.0
600.5,0.0
601.5,0.0
602.5,0.0
603.5,0.0
604.5,0.0
605.5,0.0
606.5,0.0
607.5,115.878
608.5,320.323
609.5,496.907
610.5,616.901
611.5,658.611
612.5,675.248
613.5,623.073
614.5,550.025
615.5,385.928
616.5,211.472
617.5,0.0
618.5,0.0
619.5,0.0
620.5,0.0
621.5,0.0
622.5,0.0
623.5,0.0
624.5,0.0
625.5,0.0
626.5,0.0
627.5,0.0
628.5,0.0
629.5,0.0
630.5,0.0
631.5,9.11548
632.5,50.6716
633.5,74.4425
634.5,102.751
635.5,118.876
636.5,133.734
637.5,114.731
638.5,92.7679
